,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,2500Q,2745Q,2770014Q,3080867Q,3621240Q,680884Q,945852Q,AA,ABC,ABT,AEP,AMCC,AON,AYE,BDK,BF/B,BLL,BMS,BRK/B,BTUUQ,CAG,CB,CELG,CDNS,CF,CFG,CHD
92,253647Q,2746Q,2822069Q,3147Q,363096Q,68335Q,950967Q,AAMRQ,ABKFQ,ADBE,AES,AMD,APC,AZO,BDX,BHI,BMC,BMY,BSX,BWA,CAH,CBRE,CERN,CELG,CFG,CHD,CHRW
93,2576Q,2755Q,285939Q,3179Q,3692470Q,723588Q,987200Q,AAPL,ABT,ADI,AET,AMGN,APD,BA,BEN,BIG,BMS,BRCM,BTUUQ,BXP,CAM,CCEP,CF,CERN,CHD,CHRW,CHTR
94,263179Q,2770014Q,291784Q,3253Q,375573Q,739306Q,9876566D,ABC,ADBE,ADM,AFL,AMP,APOL,BAC,BF/B,BIIB,BMY,BRK/B,BWA,C,CAT,CCI,CFG,CF,CHRW,CHTR,CI
95,2638Q,2784Q,2953349Q,3277Q,3891289Q,748957Q,9990302D,ABKFQ,ADI,ADP,AGN,AMZN,ASH,BAX,BHI,BK,BRCM,BSX,BXP,CA,CB,CCL,CHD,CFG,CHTR,CI,CINF
96,2650Q,2822069Q,2964Q,3286728Q,390297Q,8214761Q,9995522D,ABT,ADM,ADSK,AIG,AN,ATI,BBBY,BIG,BKNG,BRK/B,BTUUQ,C,CAG,CBRE,CELG,CHKAQ,CHD,CI,CINF,CL
97,2691Q,285939Q,2972Q,329556Q,399463Q,827663Q,A,ADBE,ADP,AEE,AIV,ANDW,AVP,BBWI,BIIB,BLL,BSX,BWA,CA,CAH,CCEP,CERN,CHRW,CHKAQ,CINF,CL,CLX
98,2727195Q,291784Q,297504Q,3301Q,41018Q,929530Q,AA,ADI,ADSK,AEP,ALL,ANTM,AVY,BBY,BK,BMC,BTUUQ,BXP,CAG,CAM,CCI,CF,CHTR,CHRW,CL,CLX,CMA
99,2731112Q,2972Q,2999130Q,3346Q,45200Q,945852Q,AAMRQ,ADM,AEE,AES,AMAT,AON,AW,BC,BLL,BMS,BXP,C,CAH,CAT,CCL,CHD,CI,CHTR,CLX,CMA,CMCSA
100,2745Q,297504Q,300583Q,3393199Q,544791Q,950967Q,AAPL,ADP,AEP,AET,AMCC,APC,AXP,BCR,BMC,BMY,C,CA,CAM,CB,CELG,CHKAQ,CINF,CI,CMA,CMCSA,CME
101,2746Q,2987Q,3022239Q,3459Q,548227Q,987200Q,ABKFQ,ADSK,AES,AFL,AMD,APD,AYE,BDK,BMS,BNI,CA,CAG,CAT,CBRE,CERN,CHRW,CL,CINF,CMCSA,CME,CMG
102,2755Q,2999130Q,3026360Q,3517233Q,571300Q,9876566D,ABT,AEE,AET,AGN,AMGN,APOL,AZO,BDX,BMY,BRCM,CAG,CAH,CB,CCEP,CF,CI,CLX,CL,CME,CMG,CMI
